latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,rcvr_clk_ns
-41.32917336111112,-72.39392958611111,30.8921,8.51542,9,2024,36210.168
-41.32918246111112,-72.39392243611113,30.864,8.51556,9,2024,36210.231
-41.329191447222236,-72.39391556666668,30.8777,8.51569,9,2024,36210.403
-41.32920037222223,-72.39390878888891,30.8699,8.51583,9,2024,36210.530
-41.32920977222223,-72.39390196388891,30.8988,8.51597,9,2024,36210.709
-41.329219280555556,-72.39389528333335,30.9116,8.51611,9,2024,36210.643
-41.32922889722223,-72.39388861944447,30.8817,8.51625,9,2024,36210.547
-41.32923828611112,-72.39388223611111,30.8884,8.51639,9,2024,36210.395
-41.329247311111125,-72.39387606666668,30.8975,8.51653,9,2024,36210.251
-41.32925621944445,-72.39387012222222,30.8956,8.51667,9,2024,36210.234
-41.32926493055556,-72.39386435000002,30.9195,8.51681,9,2024,36210.333
-41.32927361944446,-72.393858475,30.9349,8.51694,9,2024,36210.384
-41.32928231666668,-72.39385265555556,30.9089,8.51708,9,2024,36210.244
-41.329291036111115,-72.39384680833334,30.9024,8.51722,9,2024,36210.243
-41.329299533333334,-72.39384090555556,30.9115,8.51736,9,2024,36210.131
-41.329308147222235,-72.39383510000002,30.9202,8.51750,9,2024,36210.025
-41.3293167138889,-72.39382936388891,30.9187,8.51764,9,2024,36209.795
-41.329325308333345,-72.3938236166667,30.9132,8.51778,9,2024,36209.644
-41.3293338,-72.39381801388889,30.9163,8.51792,9,2024,36209.488
-41.3293422888889,-72.39381251944445,30.9275,8.51806,9,2024,36209.443
-41.329350752777785,-72.39380712500002,30.9515,8.51819,9,2024,36209.379
-41.32935921388889,-72.3938017638889,30.9472,8.51833,9,2024,36209.176
-41.32936772222223,-72.39379640000003,30.9149,8.51847,9,2024,36208.947
-41.32937617222222,-72.39379119722223,30.9199,8.51861,9,2024,36208.818
-41.32938461388889,-72.39378610277778,30.9249,8.51875,9,2024,36208.723
-41.32939302777779,-72.39378102777779,30.8971,8.51889,9,2024,36208.546
-41.32940135555556,-72.39377615555557,30.9125,8.51903,9,2024,36208.391
-41.329409594444456,-72.39377149722225,30.9444,8.51917,9,2024,36208.457
-41.32941787222223,-72.39376686666668,30.9416,8.51931,9,2024,36208.392
-41.32942601944445,-72.39376247222224,30.9626,8.51944,9,2024,36208.373
-41.329434280555574,-72.39375801111112,30.9532,8.51958,9,2024,36208.242
-41.3294424388889,-72.39375372500002,30.9346,8.51972,9,2024,36208.323
-41.329450497222226,-72.39374958333335,30.9471,8.51986,9,2024,36208.473
-41.329458686111124,-72.39374541944447,30.8919,8.52000,9,2024,36208.318
-41.329466666666676,-72.39374148611111,30.8898,8.52014,9,2024,36208.190
-41.32947471666667,-72.39373754444443,30.8578,8.52028,9,2024,36208.055
-41.32948260555557,-72.39373372777779,30.8432,8.52042,9,2024,36208.184
-41.32949050555557,-72.39373010833337,30.8309,8.52056,9,2024,36208.190
-41.32949821944445,-72.39372648611112,30.818,8.52069,9,2024,36208.113
-41.32950586111112,-72.39372287777779,30.8244,8.52083,9,2024,36208.193
-41.32951338888889,-72.3937193388889,30.8556,8.52097,9,2024,36208.316
-41.329520933333335,-72.39371578888891,30.8337,8.52111,9,2024,36208.438
-41.329528352777785,-72.39371222222223,30.8307,8.52125,9,2024,36208.519
-41.32953589722223,-72.39370872777778,30.813,8.52139,9,2024,36208.451
-41.32954324444445,-72.39370536111112,30.8027,8.52153,9,2024,36208.437
-41.32955050277778,-72.39370186666669,30.7991,8.52167,9,2024,36208.353
-41.32955778888889,-72.39369825833336,30.8093,8.52181,9,2024,36208.305
-41.329565013888896,-72.393694775,30.8007,8.52194,9,2024,36208.289
-41.32957224722223,-72.39369135833334,30.8239,8.52208,9,2024,36208.325
-41.32957948888889,-72.39368767222224,30.8309,8.52222,9,2024,36208.418
-41.329586725000006,-72.39368388611112,30.825,8.52236,9,2024,36208.432
-41.32959390555556,-72.39368023611112,30.8257,8.52250,9,2024,36208.572
-41.32960111111112,-72.39367648055556,30.8141,8.52264,9,2024,36208.669
-41.32960830555557,-72.39367269444446,30.8427,8.52278,9,2024,36208.865
-41.32961528055556,-72.39366899444445,30.8298,8.52292,9,2024,36208.907
-41.32962221666667,-72.39366557222225,30.8164,8.52306,9,2024,36209.125
-41.329629008333335,-72.393662125,30.82,8.52319,9,2024,36209.298
-41.32963570000001,-72.39365832500002,30.8058,8.52333,9,2024,36209.422
-41.32964229166667,-72.3936546388889,30.8309,8.52347,9,2024,36209.506
-41.32964878055556,-72.393650975,30.8349,8.52361,9,2024,36209.563
-41.329655297222224,-72.39364730000001,30.8267,8.52375,9,2024,36209.506
-41.329661852777775,-72.39364384722224,30.8175,8.52389,9,2024,36209.566
-41.329668450000014,-72.39364062222225,30.8269,8.52403,9,2024,36209.798
-41.329675077777786,-72.39363752500002,30.8267,8.52417,9,2024,36209.800
-41.32968168888889,-72.39363463611112,30.8133,8.52431,9,2024,36209.906
-41.32968822222224,-72.39363178333333,30.8153,8.52444,9,2024,36210.012
-41.329694736111115,-72.39362903888889,30.8219,8.52458,9,2024,36210.095
-41.32970143888889,-72.39362663055554,30.8095,8.52472,9,2024,36210.056
-41.329708072222225,-72.39362470833333,30.8153,8.52486,9,2024,36210.056
-41.329714747222226,-72.39362294722223,30.8275,8.52500,9,2024,36210.044
-41.32972130833334,-72.39362106111112,30.8071,8.52514,9,2024,36209.964
-41.32972791944445,-72.39361924166667,30.8032,8.52528,9,2024,36209.870
-41.329734508333345,-72.39361743888891,30.7958,8.52542,9,2024,36209.813
-41.32974110833334,-72.39361559444447,30.8083,8.52556,9,2024,36209.915
-41.32974766944445,-72.3936138777778,30.8122,8.52569,9,2024,36210.154
-41.32975442222223,-72.39361235833334,30.8126,8.52583,9,2024,36210.305
-41.32976113055557,-72.39361089444446,30.8135,8.52597,9,2024,36210.387
-41.32976782222223,-72.39360952777781,30.8169,8.52611,9,2024,36210.482
-41.32977458333334,-72.39360821666669,30.8099,8.52625,9,2024,36210.472
-41.32978138333334,-72.39360681111111,30.7891,8.52639,9,2024,36210.386
-41.32978807777778,-72.39360562222222,30.803,8.52653,9,2024,36210.167
-41.329794786111115,-72.39360453611111,30.8101,8.52667,9,2024,36209.933
-41.32980142500002,-72.39360354166669,30.8264,8.52681,9,2024,36209.716
-41.329807961111115,-72.3936029055556,30.8127,8.52694,9,2024,36209.524
-41.32981455833335,-72.39360230833334,30.8098,8.52708,9,2024,36209.404
-41.32982113055556,-72.39360160555557,30.8225,8.52722,9,2024,36209.393
-41.32982758611112,-72.39360092777778,30.8443,8.52736,9,2024,36209.465
-41.32983431944445,-72.3936001,30.8199,8.52750,9,2024,36209.440
-41.329840908333345,-72.39359929444446,30.8264,8.52764,9,2024,36209.474
-41.32984737222223,-72.39359851111112,30.8233,8.52778,9,2024,36209.574
-41.329854100000006,-72.3935977138889,30.8141,8.52792,9,2024,36209.606
-41.32986078333333,-72.39359706666669,30.8153,8.52806,9,2024,36209.632
-41.32986722222224,-72.39359712500003,30.8081,8.52819,9,2024,36209.680
-41.329873869444455,-72.39359724166668,30.8169,8.52833,9,2024,36209.743
-41.3298805138889,-72.39359734166668,30.8091,8.52847,9,2024,36209.885
-41.329887086111114,-72.39359740555557,30.8114,8.52861,9,2024,36209.889
-41.32989383333333,-72.39359788611114,30.8016,8.52875,9,2024,36209.835
-41.329900611111114,-72.39359859444446,30.8073,8.52889,9,2024,36209.943
-41.32990757222223,-72.3935991777778,30.7958,8.52903,9,2024,36210.008
-41.32991454444445,-72.39359973055556,30.8042,8.52917,9,2024,36210.043
-41.32992147500001,-72.39360019166668,30.7972,8.52931,9,2024,36210.111
-41.32992847500002,-72.39360063888891,30.8248,8.52944,9,2024,36210.362
-41.32993573888889,-72.39360111111114,30.8043,8.52958,9,2024,36210.484
-41.32994302777778,-72.39360170833334,30.8138,8.52972,9,2024,36210.680
-41.32995037500001,-72.39360220833333,30.786,8.52986,9,2024,36210.845
-41.3299575638889,-72.39360288055556,30.8201,8.53000,9,2024,36211.012
-41.329965202777785,-72.39360375277779,30.8245,8.53014,9,2024,36211.073
-41.32997326666668,-72.39360514166668,30.8195,8.53028,9,2024,36211.050
-41.32998135277778,-72.39360671666665,30.8202,8.53042,9,2024,36210.989
-41.32998939722222,-72.3936079888889,30.8016,8.53056,9,2024,36210.810
-41.32999739166668,-72.39360941111113,30.8148,8.53069,9,2024,36210.679
-41.33000551666667,-72.39361107500002,30.8108,8.53083,9,2024,36210.521
-41.33001408611112,-72.39361302222223,30.8192,8.53097,9,2024,36210.393
-41.33002261111112,-72.39361491111111,30.8197,8.53111,9,2024,36210.266
-41.3300309888889,-72.39361669722223,30.823,8.53125,9,2024,36210.168
-41.330039452777775,-72.39361834722223,30.8181,8.53139,9,2024,36209.939
-41.330047902777785,-72.3936199166667,30.8241,8.53153,9,2024,36209.853
-41.330056283333334,-72.39362139166668,30.8515,8.53167,9,2024,36209.860
-41.330064705555564,-72.39362276666668,30.8476,8.53181,9,2024,36209.908
-41.33007313611113,-72.393624075,30.8315,8.53194,9,2024,36209.809
-41.33008155555556,-72.39362538055558,30.8321,8.53208,9,2024,36209.651
-41.330090272222236,-72.39362672222222,30.8276,8.53222,9,2024,36209.579
-41.3300989027778,-72.39362819166669,30.8432,8.53236,9,2024,36209.469
-41.33010751944445,-72.39362958055558,30.832,8.53250,9,2024,36209.295
-41.33011602222223,-72.39363093611114,30.8516,8.53264,9,2024,36209.276
-41.33012478333334,-72.39363247222224,30.8565,8.53278,9,2024,36209.309
-41.33013377222223,-72.39363418888891,30.8442,8.53292,9,2024,36209.539
-41.330142602777784,-72.39363584166668,30.8434,8.53306,9,2024,36209.667
-41.33015147222223,-72.39363748333334,30.842,8.53319,9,2024,36209.809
-41.330160225,-72.39363906944445,30.851,8.53333,9,2024,36209.870
-41.330169044444446,-72.3936406027778,30.8401,8.53347,9,2024,36209.793
-41.33017780000001,-72.39364210000001,30.8424,8.53361,9,2024,36209.771
-41.33018657777779,-72.39364355555556,30.8316,8.53375,9,2024,36209.610
-41.33019528611112,-72.39364493333335,30.8252,8.53389,9,2024,36209.526
-41.33020393055557,-72.39364633055557,30.8281,8.53403,9,2024,36209.338
-41.33021261388888,-72.39364768333336,30.8264,8.53417,9,2024,36209.353
-41.33022125,-72.39364893611113,30.8236,8.53431,9,2024,36209.283
-41.33022978055555,-72.39365026111113,30.8145,8.53444,9,2024,36209.286
-41.33023835555555,-72.39365138888891,30.8103,8.53458,9,2024,36209.416
-41.33024685,-72.39365254166668,30.8075,8.53472,9,2024,36209.470
-41.33025535,-72.3936536027778,30.789,8.53486,9,2024,36209.469
-41.33026368611111,-72.39365461388888,30.804,8.53500,9,2024,36209.609
-41.33027201111113,-72.39365549722223,30.8055,8.53514,9,2024,36209.790
-41.330280372222234,-72.3936562777778,30.7933,8.53528,9,2024,36209.787
-41.33028870277778,-72.39365700277777,30.8051,8.53542,9,2024,36209.950
-41.33029701388891,-72.39365771388891,30.8059,8.53556,9,2024,36210.086
-41.330305272222226,-72.39365827222224,30.8086,8.53569,9,2024,36210.107
-41.33031351666668,-72.39365880555556,30.8107,8.53583,9,2024,36210.198
-41.33032167777778,-72.39365929444446,30.8258,8.53597,9,2024,36210.197
-41.330329777777784,-72.39365945277781,30.8125,8.53611,9,2024,36210.260
-41.330337866666675,-72.39365956111112,30.8099,8.53625,9,2024,36210.261
-41.33034576111111,-72.39365953611112,30.7905,8.53639,9,2024,36210.179
-41.33035354166667,-72.39365940277779,30.7944,8.53653,9,2024,36210.194
-41.3303608388889,-72.3936592916667,30.7996,8.53667,9,2024,36210.277
-41.33036789444445,-72.39365934722223,30.7998,8.53681,9,2024,36210.363
-41.330374508333335,-72.39365941111112,30.8045,8.53694,9,2024,36210.398
-41.33038095277778,-72.39365948611113,30.8184,8.53708,9,2024,36210.308
-41.33038778611113,-72.39365924722223,30.8064,8.53722,9,2024,36210.154
-41.33039466944445,-72.39365911666667,30.8234,8.53736,9,2024,36210.068
-41.33040169444445,-72.39365914444446,30.8051,8.53750,9,2024,36210.032
-41.330408558333346,-72.39365917777778,30.8157,8.53764,9,2024,36210.140
-41.33041595555555,-72.39365932500002,30.8358,8.53778,9,2024,36210.507
-41.33042385000001,-72.39365983611111,30.82,8.53792,9,2024,36210.794
-41.33043175277779,-72.3936602777778,30.821,8.53806,9,2024,36211.000
-41.33043966111112,-72.39366069722222,30.8091,8.53819,9,2024,36211.106
-41.33044751666667,-72.39366117500002,30.8268,8.53833,9,2024,36211.285
-41.33045567222223,-72.39366177222225,30.8089,8.53847,9,2024,36211.313
-41.33046400833334,-72.39366249444447,30.8129,8.53861,9,2024,36211.411
-41.33047228333334,-72.39366325555558,30.8128,8.53875,9,2024,36211.500
-41.330480550000004,-72.39366406111112,30.8128,8.53889,9,2024,36211.514
-41.330488700000004,-72.39366487777777,30.8248,8.53903,9,2024,36211.575
-41.33049685833333,-72.39366581388892,30.8202,8.53917,9,2024,36211.592
-41.330505038888894,-72.39366672222225,30.8211,8.53931,9,2024,36211.546
-41.33051306111112,-72.3936678111111,30.8101,8.53944,9,2024,36211.465
-41.330521055555565,-72.39366890833334,30.8201,8.53958,9,2024,36211.431
-41.33052904722222,-72.39367001944446,30.8095,8.53972,9,2024,36211.387
-41.33053734166667,-72.39367154444444,30.8155,8.53986,9,2024,36211.399
-41.330545644444456,-72.39367303611112,30.8183,8.54000,9,2024,36211.482
-41.33055389444445,-72.39367435000001,30.8205,8.54014,9,2024,36211.611
-41.33056201944446,-72.39367576666669,30.8168,8.54028,9,2024,36211.646
-41.33057019722222,-72.39367714166667,30.8009,8.54042,9,2024,36211.598
-41.3305782888889,-72.39367858333334,30.8108,8.54056,9,2024,36211.580
-41.33058640277778,-72.39367998055556,30.7986,8.54069,9,2024,36211.448
-41.33059443055556,-72.39368141111112,30.8026,8.54083,9,2024,36211.387
-41.33060232777778,-72.39368290555558,30.8004,8.54097,9,2024,36211.341
-41.33061023055555,-72.39368443333335,30.7996,8.54111,9,2024,36211.170
-41.33061801388891,-72.39368604722226,30.8082,8.54125,9,2024,36211.082
-41.33062576111112,-72.3936875777778,30.8016,8.54139,9,2024,36210.981
-41.330633438888896,-72.393689275,30.8171,8.54153,9,2024,36210.905
-41.33064107500001,-72.39369095000002,30.8165,8.54167,9,2024,36210.938
-41.33064861111112,-72.39369264722222,30.8203,8.54181,9,2024,36211.039
-41.33065616666667,-72.39369436944445,30.8195,8.54194,9,2024,36211.188
-41.330663641666675,-72.3936961777778,30.828,8.54208,9,2024,36211.396
-41.33067108888889,-72.39369804444443,30.8,8.54222,9,2024,36211.547
-41.330678491666674,-72.39369988611112,30.8054,8.54236,9,2024,36211.727
-41.330685783333344,-72.3937019388889,30.8045,8.54250,9,2024,36211.702
-41.330692986111124,-72.39370396666668,30.7906,8.54264,9,2024,36211.645
-41.33070011111111,-72.39370604166668,30.7736,8.54278,9,2024,36211.554
-41.33070717777778,-72.39370817222225,30.7722,8.54292,9,2024,36211.408
-41.33071437777779,-72.39371098333334,30.7806,8.54306,9,2024,36211.378
-41.33072163888889,-72.39371378055556,30.7864,8.54319,9,2024,36211.321
-41.33072894722223,-72.39371661944446,30.7964,8.54333,9,2024,36211.300
-41.33073607500001,-72.39371932222222,30.7996,8.54347,9,2024,36211.169
-41.33074329444445,-72.39372221944446,30.7897,8.54361,9,2024,36210.999
-41.33075076111112,-72.39372532500002,30.7931,8.54375,9,2024,36210.849
-41.33075831111112,-72.39372847777781,30.7942,8.54389,9,2024,36210.737
-41.330765875,-72.39373182222225,30.7781,8.54403,9,2024,36210.523
-41.3307732,-72.39373506111112,30.8039,8.54417,9,2024,36210.438
-41.33078054444445,-72.39373844722225,30.7964,8.54431,9,2024,36210.395
-41.330788144444455,-72.39374211388889,30.8047,8.54444,9,2024,36210.478
-41.33079573333334,-72.3937458166667,30.7679,8.54458,9,2024,36210.363
