rounded_cumulative_distance,Height(m),cumulative_distance,geometry,Datetime,latitude,longitude,height,water_frac,coherent_power,classification,missed_detection_rate,geolocation_qual,index_right,nearest_GNSS_height,nearest_GNSS_dist,nearest_index,distance_to_nearest,height_detrended
13684.0,30.948500000000003,13684.24523426898,POINT (716972.5249339349 5422507.017289438),2024-01-10 20:49:39.000,-41.319762022258615,-72.40779922890266,31.119886,1.6461127,36839904.0,4.0,0.00015997422,0.0,0.0,30.948500000000003,13684.24523426898,12784,12.328240119436652,22.155363581659238
13461.0,30.6388,13461.081251070902,POINT (716977.7420377446 5422284.749855151),2024-01-10 20:51:35.000,-41.32172046566914,-72.40746180839119,30.779266,0.07842908,1803246.6,3.0,0.00026948188,0.0,0.0,30.6388,13461.081251070902,12565,4.706803026319462,21.960937872692217
13419.0,30.5966,13419.044416409164,POINT (716986.9051374439 5422243.760756692),2024-01-10 20:51:54.000,-41.32215238637306,-72.40760575016384,30.640234,0.25105482,4648881.5,6.0,0.00028495205,0.0,0.0,30.5966,13419.044416409164,12528,18.95330364740008,21.84944412125981
13398.0,30.5466,13398.14405033418,POINT (716992.910561475 5422223.743312228),2024-01-10 20:52:04.000,-41.32235954164722,-72.40762953405181,30.62466,0.21842593,3904767.2,6.0,0.00028895162,0.0,0.0,30.5466,13398.14405033418,12509,28.116020189107907,21.847561910395648
13173.0,30.4033,13173.18695027252,POINT (717109.7641062415 5422032.415898063),2024-01-10 20:53:48.000,-41.324102287429895,-72.40606991000772,30.22644,1.0547346,23628880.0,3.0,0.00018198123,0.0,0.0,30.4033,13173.18695027252,12306,24.020960222373443,21.596710868795892
13146.0,30.3727,13146.458229977432,POINT (717126.6964147016 5422011.738305805),2024-01-10 20:54:02.000,-41.32398163889569,-72.40541015096153,30.219748,1.0972191,27572284.0,4.0,0.0001763137,0.0,0.0,30.3727,13146.458229977432,12279,26.469141986346475,21.607528801437176
13023.0,30.2809,13022.977862728949,POINT (717219.6825094633 5421931.467093518),2024-01-10 20:54:53.000,-41.32483202236868,-72.40448782333681,30.608414,1.5588928,32531540.0,4.0,0.00013193795,0.0,0.0,30.2809,13022.977862728949,12175,1.6295627006956537,22.077086549682953
13004.0,30.2727,13003.82297225755,POINT (717236.2780388055 5421921.914141856),2024-01-10 20:55:01.000,-41.32478506795383,-72.40421025364583,30.208311,0.71547693,23731208.0,3.0,0.000118640506,0.0,0.0,30.2727,13003.82297225755,12160,17.079342012165487,21.689531881148227
12999.0,30.2708,12998.852904516774,POINT (717240.7367775249 5421919.718893657),2024-01-10 20:55:03.000,-41.3250019898211,-72.40428759179667,30.12976,1.1654412,50773630.0,4.0,0.000110497655,0.0,0.0,30.2708,12998.852904516774,12156,7.54800214964488,21.61423676285161
12983.0,30.2593,12982.967833850524,POINT (717255.1988585296 5421913.151557063),2024-01-10 20:55:09.000,-41.32518395636283,-72.40417364910684,30.268688,0.33697572,15638924.0,3.0,0.00010286365,0.0,0.0,30.2593,12982.967833850524,12143,22.49743677787303,21.76357104172682
